DEPTH,RHOB,GR,VP,Vs,NPHI
3448.125,2.1126,50.9606,2.984793624,4.938061751999999,25.979999999999997
3448.25,2.1323,51.0662,2.9881311839999998,4.95281712,23.330000000000002
3448.375,2.1201,53.5976,2.9906762639999998,4.967929104,21.46
3448.5,2.0964,53.034,2.992428864,4.982559504,25.569999999999997
3448.625,2.1166,58.062,2.994154032,4.995796968,23.18
3448.75,2.1206,54.1074,2.996257152,5.0072544,24.93
3448.875,2.1306,50.1838,2.998457808,5.016727584,25.979999999999997
3449.0,2.1426,51.1869,3.00031404,5.024231759999999,24.610000000000003
3449.125,2.127,55.2079,3.001353408,5.029971143999999,23.39
3449.25,2.1123,53.1591,3.0011796719999997,5.033799432,25.41
3449.375,2.119,49.8543,3.000051912,5.035948272,28.54
3449.5,2.142,52.9549,2.998421232,5.03668284,29.2
3449.625,2.156,56.6237,2.996455272,5.0360640960000005,27.229999999999997
